,Datetime,Store,Dept,Weekly_Sales
416,2012-08-03,1,3,30331.69
417,2012-08-10,1,3,28257.3
418,2012-08-17,1,3,31905.97
419,2012-08-24,1,3,43712.78
420,2012-08-31,1,3,50701.3
421,2012-09-07,1,3,18368.51
422,2012-09-14,1,3,14288.22
423,2012-09-21,1,3,13403.63
424,2012-09-28,1,3,13085.95
425,2012-10-05,1,3,11676.98
426,2012-10-12,1,3,10487.17
427,2012-10-19,1,3,8548.87
428,2012-10-26,1,3,9350.9
542,2012-04-06,1,4,42060.21
543,2012-04-13,1,4,37449.26
544,2012-04-20,1,4,36350.03
545,2012-04-27,1,4,36894.54
546,2012-05-04,1,4,41897.55
547,2012-05-11,1,4,35840.06
548,2012-05-18,1,4,34536.29
549,2012-05-25,1,4,38270.34
550,2012-06-01,1,4,41566.55
551,2012-06-08,1,4,41124.27
552,2012-06-15,1,4,39019.74
553,2012-06-22,1,4,37400.31
554,2012-06-29,1,4,39758.77
555,2012-07-06,1,4,44936.96
556,2012-07-13,1,4,38073.91
557,2012-07-20,1,4,38080.05
558,2012-07-27,1,4,35197.59
559,2012-08-03,1,4,41305.39
560,2012-08-10,1,4,40343.83
561,2012-08-17,1,4,38105.9
562,2012-08-24,1,4,36674.67
563,2012-08-31,1,4,37802.97
564,2012-09-07,1,4,39549.27
565,2012-09-14,1,4,35044.06
566,2012-09-21,1,4,34507.34
567,2012-09-28,1,4,34647.33
568,2012-10-05,1,4,39311.93
569,2012-10-12,1,4,35446.18
570,2012-10-19,1,4,35549.19
571,2012-10-26,1,4,36292.6
685,2012-04-06,1,5,28386.81
686,2012-04-13,1,5,18458.33
687,2012-04-20,1,5,16645.01
688,2012-04-27,1,5,17170.39
689,2012-05-04,1,5,18953.07
690,2012-05-11,1,5,17277.63
691,2012-05-18,1,5,17955.73
692,2012-05-25,1,5,18625.67
693,2012-06-01,1,5,17233.25
694,2012-06-08,1,5,24752.99
695,2012-06-15,1,5,21376.63
696,2012-06-22,1,5,24337.24
697,2012-06-29,1,5,20233.9
698,2012-07-06,1,5,19684.48
699,2012-07-13,1,5,18089.61
700,2012-07-20,1,5,17896.46
701,2012-07-27,1,5,14105.4
702,2012-08-03,1,5,17615.28
703,2012-08-10,1,5,18232.46
704,2012-08-17,1,5,15440.65
705,2012-08-24,1,5,22446.23
706,2012-08-31,1,5,18615.76
707,2012-09-07,1,5,18236.15
708,2012-09-14,1,5,19369.52
709,2012-09-21,1,5,25798.78
710,2012-09-28,1,5,22560.39
711,2012-10-05,1,5,25508.81
712,2012-10-12,1,5,20920.03
713,2012-10-19,1,5,20413.83
714,2012-10-26,1,5,25846.94
828,2012-04-06,1,6,4764.43
829,2012-04-13,1,6,4500.12
830,2012-04-20,1,6,2988.96
831,2012-04-27,1,6,3319.32
832,2012-05-04,1,6,4658.18
833,2012-05-11,1,6,3574.83
834,2012-05-18,1,6,6030.81
835,2012-05-25,1,6,5131.26
836,2012-06-01,1,6,3249.75
837,2012-06-08,1,6,4888.46
838,2012-06-15,1,6,4087.58
839,2012-06-22,1,6,4870.31
840,2012-06-29,1,6,4774.5
841,2012-07-06,1,6,2828.03
842,2012-07-13,1,6,2776.97
843,2012-07-20,1,6,3496.53
844,2012-07-27,1,6,2545.65
845,2012-08-03,1,6,3412.58
846,2012-08-10,1,6,-139.65
847,2012-08-17,1,6,2725.3
848,2012-08-24,1,6,2626.5
849,2012-08-31,1,6,2987.07
850,2012-09-07,1,6,2576.64
851,2012-09-14,1,6,3073.31
852,2012-09-21,1,6,4159.51
853,2012-09-28,1,6,3168.68
854,2012-10-05,1,6,3843.29
855,2012-10-12,1,6,3788.59
856,2012-10-19,1,6,3496.69
857,2012-10-26,1,6,4032.5
971,2012-04-06,1,7,27171.41
972,2012-04-13,1,7,21302.3
973,2012-04-20,1,7,19056.92
974,2012-04-27,1,7,18704.53
975,2012-05-04,1,7,22956.83
976,2012-05-11,1,7,23036.8
977,2012-05-18,1,7,19180.11
978,2012-05-25,1,7,28671.98
979,2012-06-01,1,7,31568.92
980,2012-06-08,1,7,30052.56
981,2012-06-15,1,7,26249.22
982,2012-06-22,1,7,24777.12
983,2012-06-29,1,7,24077.39
984,2012-07-06,1,7,27364.96
985,2012-07-13,1,7,18427.17
986,2012-07-20,1,7,16528.1
987,2012-07-27,1,7,17171.35
988,2012-08-03,1,7,16916.29
989,2012-08-10,1,7,16552.49
990,2012-08-17,1,7,16256.91
991,2012-08-24,1,7,15159.94
992,2012-08-31,1,7,15802.09
993,2012-09-07,1,7,16941.42
994,2012-09-14,1,7,15525.82
995,2012-09-21,1,7,22542.44
996,2012-09-28,1,7,22343.24
997,2012-10-05,1,7,22071.39
998,2012-10-12,1,7,20212.71
999,2012-10-19,1,7,21937.45
1000,2012-10-26,1,7,21449.85
1114,2012-04-06,1,8,41917.56
1115,2012-04-13,1,8,37295.29
1116,2012-04-20,1,8,36930.94
1117,2012-04-27,1,8,38531.76
1118,2012-05-04,1,8,41589.1
1119,2012-05-11,1,8,37702.53
1120,2012-05-18,1,8,37817.25
1121,2012-05-25,1,8,39067.0
1122,2012-06-01,1,8,41039.74
1123,2012-06-08,1,8,40236.23
1124,2012-06-15,1,8,38163.76
1125,2012-06-22,1,8,37693.88
1126,2012-06-29,1,8,37647.44
1127,2012-07-06,1,8,41524.67
1128,2012-07-13,1,8,36130.01
1129,2012-07-20,1,8,37797.31
1130,2012-07-27,1,8,36981.9
1131,2012-08-03,1,8,40098.84
1132,2012-08-10,1,8,37269.92
1133,2012-08-17,1,8,36294.18
1134,2012-08-24,1,8,33855.28
1135,2012-08-31,1,8,37666.92
1136,2012-09-07,1,8,38666.21
1137,2012-09-14,1,8,37346.83
1138,2012-09-21,1,8,36404.63
1139,2012-09-28,1,8,37254.84
1140,2012-10-05,1,8,42663.75
1141,2012-10-12,1,8,37248.47
1142,2012-10-19,1,8,38668.75
1143,2012-10-26,1,8,39255.35
1257,2012-04-06,1,9,41235.34
1258,2012-04-13,1,9,33136.94
1259,2012-04-20,1,9,28111.87
1260,2012-04-27,1,9,30359.94
1261,2012-05-04,1,9,31552.3
1262,2012-05-11,1,9,28043.48
1263,2012-05-18,1,9,26160.37
1264,2012-05-25,1,9,29338.57
1265,2012-06-01,1,9,35001.66
1266,2012-06-08,1,9,30307.11
1267,2012-06-15,1,9,30249.01
1268,2012-06-22,1,9,28249.43
1269,2012-06-29,1,9,25081.23
1270,2012-07-06,1,9,32851.76
1271,2012-07-13,1,9,21464.73
1272,2012-07-20,1,9,22594.18
1273,2012-07-27,1,9,22921.21
1274,2012-08-03,1,9,23780.97
1275,2012-08-10,1,9,20400.88
1276,2012-08-17,1,9,23503.86
1277,2012-08-24,1,9,26262.95
1278,2012-08-31,1,9,41634.69
1279,2012-09-07,1,9,42920.95
1280,2012-09-14,1,9,31882.98
1281,2012-09-21,1,9,33889.72
1282,2012-09-28,1,9,40712.85
1283,2012-10-05,1,9,40439.53
1284,2012-10-12,1,9,37126.23
1285,2012-10-19,1,9,36690.81
1286,2012-10-26,1,9,41040.84
1400,2012-04-06,1,10,36666.29
1401,2012-04-13,1,10,29709.53
1402,2012-04-20,1,10,30838.26
1403,2012-04-27,1,10,29433.27
1404,2012-05-04,1,10,35800.66
1405,2012-05-11,1,10,32271.72
1406,2012-05-18,1,10,30339.17
1407,2012-05-25,1,10,34203.35
1408,2012-06-01,1,10,37294.14
1409,2012-06-08,1,10,36155.27
1410,2012-06-15,1,10,32578.62
1411,2012-06-22,1,10,32851.06
1412,2012-06-29,1,10,33135.34
1413,2012-07-06,1,10,39189.33
1414,2012-07-13,1,10,31430.55
1415,2012-07-20,1,10,29187.22
1416,2012-07-27,1,10,30594.53
1417,2012-08-03,1,10,32794.21
1418,2012-08-10,1,10,33834.22
1419,2012-08-17,1,10,29723.55
1420,2012-08-24,1,10,27884.19
1421,2012-08-31,1,10,28490.93
1422,2012-09-07,1,10,30851.75
1423,2012-09-14,1,10,31705.09
1424,2012-09-21,1,10,29203.63
1425,2012-09-28,1,10,27205.4
1426,2012-10-05,1,10,27822.4
1427,2012-10-12,1,10,27803.78
1428,2012-10-19,1,10,29442.38
1429,2012-10-26,1,10,26285.27
1543,2012-04-06,1,11,28971.93
1544,2012-04-13,1,11,21874.45
1545,2012-04-20,1,11,21787.83
1546,2012-04-27,1,11,20710.01
1547,2012-05-04,1,11,31670.38
1548,2012-05-11,1,11,28842.32
1549,2012-05-18,1,11,23346.03
1550,2012-05-25,1,11,26925.54
1551,2012-06-01,1,11,32406.68
1552,2012-06-08,1,11,35861.22
1553,2012-06-15,1,11,27802.84
1554,2012-06-22,1,11,26407.67
1555,2012-06-29,1,11,44553.45
1556,2012-07-06,1,11,36266.25
1557,2012-07-13,1,11,25922.59
1558,2012-07-20,1,11,26026.46
1559,2012-07-27,1,11,33443.23
1560,2012-08-03,1,11,27759.99
1561,2012-08-10,1,11,24145.93
1562,2012-08-17,1,11,20281.68
1563,2012-08-24,1,11,20462.68
1564,2012-08-31,1,11,21103.42
1565,2012-09-07,1,11,23338.99
1566,2012-09-14,1,11,17027.47
1567,2012-09-21,1,11,18161.43
1568,2012-09-28,1,11,17242.78
1569,2012-10-05,1,11,22374.18
1570,2012-10-12,1,11,21857.09
1571,2012-10-19,1,11,18259.82
1572,2012-10-26,1,11,22399.83
1686,2012-04-06,1,12,10747.37
1687,2012-04-13,1,12,10565.39
1688,2012-04-20,1,12,11730.26
1689,2012-04-27,1,12,11746.83
1690,2012-05-04,1,12,12338.08
1691,2012-05-11,1,12,11420.63
1692,2012-05-18,1,12,10199.01
1693,2012-05-25,1,12,12748.13
1694,2012-06-01,1,12,11542.81
1695,2012-06-08,1,12,10742.68
1696,2012-06-15,1,12,11177.52
1697,2012-06-22,1,12,9606.33
1698,2012-06-29,1,12,11816.35
1699,2012-07-06,1,12,13887.61
1700,2012-07-13,1,12,9318.1
1701,2012-07-20,1,12,12565.06
1702,2012-07-27,1,12,11109.25
1703,2012-08-03,1,12,11298.13
1704,2012-08-10,1,12,10605.66
1705,2012-08-17,1,12,11447.03
1706,2012-08-24,1,12,10723.59
1707,2012-08-31,1,12,10591.46
1708,2012-09-07,1,12,12566.45
1709,2012-09-14,1,12,10484.08
1710,2012-09-21,1,12,9448.14
1711,2012-09-28,1,12,11013.77
1712,2012-10-05,1,12,10037.09
1713,2012-10-12,1,12,8983.82
1714,2012-10-19,1,12,10830.48
1715,2012-10-26,1,12,8658.41
1829,2012-04-06,1,13,44270.3
1830,2012-04-13,1,13,39099.61
1831,2012-04-20,1,13,39499.85
1832,2012-04-27,1,13,39077.84
1833,2012-05-04,1,13,43561.17
1834,2012-05-11,1,13,38895.18
1835,2012-05-18,1,13,37857.88
1836,2012-05-25,1,13,38541.76
1837,2012-06-01,1,13,41462.8
1838,2012-06-08,1,13,42304.47
1839,2012-06-15,1,13,39024.74
1840,2012-06-22,1,13,38945.0
1841,2012-06-29,1,13,40099.49
1842,2012-07-06,1,13,43326.92
1843,2012-07-13,1,13,39276.05
1844,2012-07-20,1,13,39396.59
1845,2012-07-27,1,13,37423.21
1846,2012-08-03,1,13,44708.45
1847,2012-08-10,1,13,42241.23
1848,2012-08-17,1,13,41658.4
1849,2012-08-24,1,13,39231.62
1850,2012-08-31,1,13,40940.78
1851,2012-09-07,1,13,44373.19
1852,2012-09-14,1,13,38759.47
1853,2012-09-21,1,13,39746.87
1854,2012-09-28,1,13,39793.41
1855,2012-10-05,1,13,43746.89
1856,2012-10-12,1,13,38015.36
1857,2012-10-19,1,13,38341.15
1858,2012-10-26,1,13,38512.48
1972,2012-04-06,1,14,15652.72
1973,2012-04-13,1,14,14933.13
1974,2012-04-20,1,14,13575.69
1975,2012-04-27,1,14,14904.8
1976,2012-05-04,1,14,16193.63
1977,2012-05-11,1,14,15537.79
1978,2012-05-18,1,14,16326.55
1979,2012-05-25,1,14,14186.59
1980,2012-06-01,1,14,14903.87
1981,2012-06-08,1,14,12858.85
1982,2012-06-15,1,14,14117.36
1983,2012-06-22,1,14,13158.38
1984,2012-06-29,1,14,16958.84
1985,2012-07-06,1,14,19019.04
1986,2012-07-13,1,14,14332.72
1987,2012-07-20,1,14,12083.33
1988,2012-07-27,1,14,12706.52
1989,2012-08-03,1,14,13423.3
1990,2012-08-10,1,14,12434.69
1991,2012-08-17,1,14,12419.06
1992,2012-08-24,1,14,11041.63
1993,2012-08-31,1,14,12912.96
1994,2012-09-07,1,14,13711.08
1995,2012-09-14,1,14,11596.1
1996,2012-09-21,1,14,12193.8
1997,2012-09-28,1,14,12037.66
1998,2012-10-05,1,14,14381.21
1999,2012-10-12,1,14,11450.64
2000,2012-10-19,1,14,12035.51
2001,2012-10-26,1,14,11150.0
2115,2012-04-06,1,16,59512.97
2116,2012-04-13,1,16,55347.73
2117,2012-04-20,1,16,42816.54
2118,2012-04-27,1,16,41926.36
2119,2012-05-04,1,16,43970.7
2120,2012-05-11,1,16,38885.33
2121,2012-05-18,1,16,37505.0
2122,2012-05-25,1,16,42922.55
2123,2012-06-01,1,16,45508.72
2124,2012-06-08,1,16,34785.29
2125,2012-06-15,1,16,32898.46
2126,2012-06-22,1,16,36362.45
2127,2012-06-29,1,16,37677.82
2128,2012-07-06,1,16,42679.2
2129,2012-07-13,1,16,22880.3
2130,2012-07-20,1,16,24017.03
2131,2012-07-27,1,16,23838.33
2132,2012-08-03,1,16,25418.49
2133,2012-08-10,1,16,21677.85
2134,2012-08-17,1,16,20035.26
2135,2012-08-24,1,16,18393.12
2136,2012-08-31,1,16,16797.62
2137,2012-09-07,1,16,20473.94
2138,2012-09-14,1,16,14646.37
2139,2012-09-21,1,16,13415.51
2140,2012-09-28,1,16,14734.64
2141,2012-10-05,1,16,11320.41
2142,2012-10-12,1,16,10525.66
2143,2012-10-19,1,16,9518.43
2144,2012-10-26,1,16,9934.63
2258,2012-04-06,1,17,8662.4
2259,2012-04-13,1,17,6936.35
2260,2012-04-20,1,17,8559.84
2261,2012-04-27,1,17,7868.25
2262,2012-05-04,1,17,9064.6
2263,2012-05-11,1,17,7964.29
2264,2012-05-18,1,17,9308.53
2265,2012-05-25,1,17,7323.66
2266,2012-06-01,1,17,7197.38
2267,2012-06-08,1,17,8589.19
2268,2012-06-15,1,17,6676.87
2269,2012-06-22,1,17,7468.47
2270,2012-06-29,1,17,8240.63
2271,2012-07-06,1,17,8053.74
2272,2012-07-13,1,17,7386.64
2273,2012-07-20,1,17,7195.7
2274,2012-07-27,1,17,8435.09
2275,2012-08-03,1,17,7809.58
2276,2012-08-10,1,17,8441.34
2277,2012-08-17,1,17,8710.04
2278,2012-08-24,1,17,9523.9
2279,2012-08-31,1,17,8158.73
2280,2012-09-07,1,17,8712.44
2281,2012-09-14,1,17,7075.73
2282,2012-09-21,1,17,7143.59
2283,2012-09-28,1,17,7155.75
2284,2012-10-05,1,17,9040.52
2285,2012-10-12,1,17,7908.36
2286,2012-10-19,1,17,7640.43
2287,2012-10-26,1,17,7640.92
2380,2012-04-06,1,18,14283.73
2381,2012-04-13,1,18,5136.25
2382,2012-04-20,1,18,61.56
2383,2012-04-27,1,18,4.68
2384,2012-05-04,1,18,-1.27
2385,2012-05-11,1,18,4.58
2386,2012-05-25,1,18,1.97
2387,2012-06-01,1,18,0.2
2388,2012-06-08,1,18,4.97
2389,2012-07-20,1,18,2.91
2390,2012-08-17,1,18,9.97
2391,2012-08-24,1,18,4.97
2392,2012-08-31,1,18,4.97
2393,2012-09-07,1,18,4.97
2394,2012-09-14,1,18,649.09
2395,2012-09-21,1,18,3361.0
2396,2012-09-28,1,18,4867.7
2397,2012-10-05,1,18,7291.46
2398,2012-10-12,1,18,8171.79
2399,2012-10-19,1,18,10569.09
2400,2012-10-26,1,18,17934.28
2514,2012-04-06,1,19,875.56
2515,2012-04-13,1,19,753.73
2516,2012-04-20,1,19,1162.5
2517,2012-04-27,1,19,524.17
2518,2012-05-04,1,19,1155.4
2519,2012-05-11,1,19,1848.79
2520,2012-05-18,1,19,1441.88
2521,2012-05-25,1,19,1036.21
2522,2012-06-01,1,19,1406.0
2523,2012-06-08,1,19,1242.44
2524,2012-06-15,1,19,951.49
2525,2012-06-22,1,19,1174.7
2526,2012-06-29,1,19,1040.98
2527,2012-07-06,1,19,1195.29
2528,2012-07-13,1,19,1003.66
2529,2012-07-20,1,19,955.74
2530,2012-07-27,1,19,1016.28
2531,2012-08-03,1,19,901.62
2532,2012-08-10,1,19,875.1
2533,2012-08-17,1,19,1192.39
2534,2012-08-24,1,19,1328.49
2535,2012-08-31,1,19,900.06
2536,2012-09-07,1,19,1225.7
2537,2012-09-14,1,19,733.78
2538,2012-09-21,1,19,1015.46
2539,2012-09-28,1,19,1385.85
2540,2012-10-05,1,19,1192.58
2541,2012-10-12,1,19,1415.68
2542,2012-10-19,1,19,1247.56
2543,2012-10-26,1,19,1640.81
2657,2012-04-06,1,20,3868.02
2658,2012-04-13,1,20,3449.45
2659,2012-04-20,1,20,4246.85
2660,2012-04-27,1,20,4844.73
2661,2012-05-04,1,20,4647.31
2662,2012-05-11,1,20,4418.12
2663,2012-05-18,1,20,5296.28
2664,2012-05-25,1,20,4614.33
2665,2012-06-01,1,20,4353.92
2666,2012-06-08,1,20,4943.11
2667,2012-06-15,1,20,3948.1
2668,2012-06-22,1,20,5218.84
2669,2012-06-29,1,20,4847.43
2670,2012-07-06,1,20,5485.86
2671,2012-07-13,1,20,3737.06
2672,2012-07-20,1,20,4831.71
2673,2012-07-27,1,20,3810.16
2674,2012-08-03,1,20,4708.44
2675,2012-08-10,1,20,4534.37
2676,2012-08-17,1,20,3980.4
2677,2012-08-24,1,20,3452.67
2678,2012-08-31,1,20,4602.26
2679,2012-09-07,1,20,4342.34
2680,2012-09-14,1,20,3548.56
2681,2012-09-21,1,20,3532.28
2682,2012-09-28,1,20,3200.54
2683,2012-10-05,1,20,4184.73
2684,2012-10-12,1,20,3126.49
2685,2012-10-19,1,20,3640.07
2686,2012-10-26,1,20,2680.53
2800,2012-04-06,1,21,10083.36
2801,2012-04-13,1,21,7223.96
2802,2012-04-20,1,21,6508.01
2803,2012-04-27,1,21,7561.57
2804,2012-05-04,1,21,7873.18
2805,2012-05-11,1,21,7120.67
2806,2012-05-18,1,21,7124.99
2807,2012-05-25,1,21,6872.63
2808,2012-06-01,1,21,7206.04
2809,2012-06-08,1,21,7373.09
2810,2012-06-15,1,21,7345.49
2811,2012-06-22,1,21,7768.11
2812,2012-06-29,1,21,6490.2
2813,2012-07-06,1,21,7500.71
2814,2012-07-13,1,21,6717.31
2815,2012-07-20,1,21,6321.9
2816,2012-07-27,1,21,6371.95
2817,2012-08-03,1,21,6393.77
2818,2012-08-10,1,21,6752.85
2819,2012-08-17,1,21,6182.36
2820,2012-08-24,1,21,6965.28
2821,2012-08-31,1,21,7031.77
2822,2012-09-07,1,21,8258.47
2823,2012-09-14,1,21,8013.36
2824,2012-09-21,1,21,7085.79
2825,2012-09-28,1,21,7737.13
2826,2012-10-05,1,21,7790.01
2827,2012-10-12,1,21,7020.8
2828,2012-10-19,1,21,7614.71
2829,2012-10-26,1,21,8194.63
2943,2012-04-06,1,22,7462.34
2944,2012-04-13,1,22,5901.71
2945,2012-04-20,1,22,7171.34
2946,2012-04-27,1,22,6068.54
2947,2012-05-04,1,22,7884.36
2948,2012-05-11,1,22,6363.42
2949,2012-05-18,1,22,6752.83
2950,2012-05-25,1,22,6878.26
2951,2012-06-01,1,22,6332.62
2952,2012-06-08,1,22,6816.23
2953,2012-06-15,1,22,5764.52
2954,2012-06-22,1,22,7233.96
2955,2012-06-29,1,22,6008.22
2956,2012-07-06,1,22,6382.12
2957,2012-07-13,1,22,5881.8
2958,2012-07-20,1,22,6767.52
2959,2012-07-27,1,22,7170.57
2960,2012-08-03,1,22,7160.87
2961,2012-08-10,1,22,7229.94
2962,2012-08-17,1,22,7788.49
2963,2012-08-24,1,22,6364.81
2964,2012-08-31,1,22,5742.4
2965,2012-09-07,1,22,7669.83
2966,2012-09-14,1,22,5462.99
2967,2012-09-21,1,22,5663.49
2968,2012-09-28,1,22,6892.92
2969,2012-10-05,1,22,7821.14
2970,2012-10-12,1,22,8966.16
2971,2012-10-19,1,22,8236.39
2972,2012-10-26,1,22,8236.88
3086,2012-04-06,1,23,24604.49
3087,2012-04-13,1,23,20132.49
3088,2012-04-20,1,23,20768.42
3089,2012-04-27,1,23,17587.72
3090,2012-05-04,1,23,21973.08
3091,2012-05-11,1,23,21536.76
3092,2012-05-18,1,23,18435.16
3093,2012-05-25,1,23,20778.32
3094,2012-06-01,1,23,23504.62
3095,2012-06-08,1,23,23792.73
3096,2012-06-15,1,23,24836.02
3097,2012-06-22,1,23,26200.55
3098,2012-06-29,1,23,23036.0
3099,2012-07-06,1,23,22965.73
3100,2012-07-13,1,23,18326.49
3101,2012-07-20,1,23,18400.73
3102,2012-07-27,1,23,18105.68
3103,2012-08-03,1,23,22566.41
3104,2012-08-10,1,23,21599.34
3105,2012-08-17,1,23,21808.81
3106,2012-08-24,1,23,25618.62
3107,2012-08-31,1,23,23361.12
3108,2012-09-07,1,23,17406.85
3109,2012-09-14,1,23,14172.52
3110,2012-09-21,1,23,15702.02
3111,2012-09-28,1,23,14731.92
3112,2012-10-05,1,23,19478.62
3113,2012-10-12,1,23,21024.28
3114,2012-10-19,1,23,17191.96
3115,2012-10-26,1,23,21460.58
3229,2012-04-06,1,24,7077.44
3230,2012-04-13,1,24,4986.97
3231,2012-04-20,1,24,5047.11
3232,2012-04-27,1,24,3328.23
3233,2012-05-04,1,24,5753.71
3234,2012-05-11,1,24,4449.04
3235,2012-05-18,1,24,4439.01
3236,2012-05-25,1,24,4830.18
3237,2012-06-01,1,24,3853.81
3238,2012-06-08,1,24,3810.35
3239,2012-06-15,1,24,3670.73
3240,2012-06-22,1,24,4129.07
3241,2012-06-29,1,24,3729.35
3242,2012-07-06,1,24,4671.82
3243,2012-07-13,1,24,4537.83
3244,2012-07-20,1,24,5164.1
3245,2012-07-27,1,24,5974.25
3246,2012-08-03,1,24,8003.97
3247,2012-08-10,1,24,8870.23
3248,2012-08-17,1,24,12967.94
3249,2012-08-24,1,24,16785.62
3250,2012-08-31,1,24,13181.63
3251,2012-09-07,1,24,5138.69
3252,2012-09-14,1,24,4980.64
3253,2012-09-21,1,24,4979.52
3254,2012-09-28,1,24,4364.69
3255,2012-10-05,1,24,7322.07
3256,2012-10-12,1,24,7733.2
3257,2012-10-19,1,24,5355.52
3258,2012-10-26,1,24,7106.74
3372,2012-04-06,1,25,14732.09
3373,2012-04-13,1,25,12736.32
3374,2012-04-20,1,25,10115.85
3375,2012-04-27,1,25,10563.87
3376,2012-05-04,1,25,13530.43
3377,2012-05-11,1,25,10206.26
3378,2012-05-18,1,25,10029.04
3379,2012-05-25,1,25,10702.21
3380,2012-06-01,1,25,11528.12
3381,2012-06-08,1,25,10527.53
3382,2012-06-15,1,25,10329.88
3383,2012-06-22,1,25,9848.45
3384,2012-06-29,1,25,9566.04
3385,2012-07-06,1,25,11324.5
3386,2012-07-13,1,25,8281.23
3387,2012-07-20,1,25,9237.46
3388,2012-07-27,1,25,8528.82
3389,2012-08-03,1,25,10019.2
3390,2012-08-10,1,25,8614.67
3391,2012-08-17,1,25,9780.51
3392,2012-08-24,1,25,10625.07
3393,2012-08-31,1,25,10284.77
3394,2012-09-07,1,25,7461.45
3395,2012-09-14,1,25,7541.58
3396,2012-09-21,1,25,7804.28
3397,2012-09-28,1,25,7685.71
3398,2012-10-05,1,25,11140.24
3399,2012-10-12,1,25,10485.04
3400,2012-10-19,1,25,8702.47
3401,2012-10-26,1,25,11066.13
3515,2012-04-06,1,26,8152.94
3516,2012-04-13,1,26,6095.14
3517,2012-04-20,1,26,6869.49
3518,2012-04-27,1,26,6317.77
3519,2012-05-04,1,26,6788.13
3520,2012-05-11,1,26,5958.51
3521,2012-05-18,1,26,5783.96
3522,2012-05-25,1,26,5069.36
3523,2012-06-01,1,26,5319.66
3524,2012-06-08,1,26,5082.27
3525,2012-06-15,1,26,5688.08
3526,2012-06-22,1,26,5852.37
3527,2012-06-29,1,26,5615.89
3528,2012-07-06,1,26,5851.77
3529,2012-07-13,1,26,4375.44
3530,2012-07-20,1,26,5279.41
3531,2012-07-27,1,26,4350.86
3532,2012-08-03,1,26,5764.11
3533,2012-08-10,1,26,5498.9
3534,2012-08-17,1,26,4924.3
3535,2012-08-24,1,26,5369.29
3536,2012-08-31,1,26,5602.58
3537,2012-09-07,1,26,5011.22
3538,2012-09-14,1,26,6001.13
3539,2012-09-21,1,26,6550.81
3540,2012-09-28,1,26,5035.97
3541,2012-10-05,1,26,8784.99
3542,2012-10-12,1,26,12773.34
3543,2012-10-19,1,26,7004.13
3544,2012-10-26,1,26,7412.16
3658,2012-04-06,1,27,1429.08
3659,2012-04-13,1,27,983.69
3660,2012-04-20,1,27,970.43
3661,2012-04-27,1,27,1019.53
3662,2012-05-04,1,27,1033.05
